,95.0
862,97.25
863,97.3265
864,97.33
865,97.5
866,97.5795
867,97.675
868,97.8695
869,97.86
870,98.0
871,97.94
872,98.0795
873,98.1995
874,98.05
875,98.06
876,98.19
877,98.3
878,98.39
879,98.5
880,98.31
881,98.17
882,98.13
883,98.0
884,97.79
885,97.745
886,98.1137
887,98.0221
888,98.18
889,98.13
890,97.99
891,97.895
892,97.59
893,97.39
894,97.265
895,97.37
896,97.405
897,97.6859
898,97.19
899,97.2
900,97.4156
901,97.36
902,97.41
903,97.2501
904,97.02
905,96.7956
906,96.7301
907,96.9
908,96.852
909,96.37
910,96.6175
911,96.4801
912,96.28
913,96.3001
914,96.415
915,96.39
916,96.38
917,96.47
918,96.4695
919,96.7005
920,96.6526
921,96.7
922,96.7292
923,96.7127
924,96.81
925,96.45
926,96.5
927,96.8
928,96.7225
929,96.39
930,96.5
931,96.3901
932,96.28
933,96.1605
934,96.2601
935,96.5251
936,96.4732
937,96.7
938,96.6005
939,96.7
940,96.36
941,96.08
942,96.2
943,96.4257
944,96.3355
945,96.3
946,96.38
947,96.13
948,96.16
949,96.02
950,96.135
951,96.1834
952,96.01
953,96.02
954,95.6842
955,95.6947
956,96.0
957,95.86
958,95.81
959,95.88
960,95.62
961,95.47
962,95.57
963,95.44
964,95.63
965,95.8494
966,95.93
967,95.85
968,95.9195
969,95.92
970,96.0492
971,96.02
972,96.1099
973,96.0895
974,96.042
975,96.1
976,95.88
977,95.8805
978,95.935
979,95.99
980,96.3927
981,96.37
982,96.18
983,95.98
984,95.9001
985,95.95
986,95.82
987,95.82
988,96.03
989,95.95
990,95.82
991,95.82
992,95.8201
993,95.75
994,95.73
995,95.53
996,95.65
997,95.61
998,95.3176
999,95.31
1000,95.3345
1001,95.2701
1002,95.0701
1003,95.238
1004,95.5095
1005,95.41
1006,95.41
1007,95.23
1008,95.275
1009,95.44
1010,95.41
1011,95.4
1012,95.59
1013,95.55
1014,95.6699
1015,95.6301
1016,95.75
1017,96.08
1018,95.9
1019,95.61
1020,95.7129
1021,95.58
1022,95.525
1023,95.6498
1024,95.525
1025,95.525
1026,95.4509
1027,95.49
1028,95.53
1029,95.55
1030,95.46
1031,95.42
1032,95.39
1033,95.4842
1034,95.46600000000001
1035,95.545
1036,95.575
1037,95.6
1038,95.585
1039,95.65
1040,95.64
1041,95.6
1042,95.56
1043,95.75
1044,95.7369
1045,95.74
1046,95.75
1047,95.74
1048,95.73
1049,95.77
1050,95.7819
1051,95.7734
1052,95.78
1053,95.72
1054,95.71
1055,95.745
1056,95.725
1057,95.72
1058,95.77
1059,96.115
1060,96.3636
1061,96.36
1062,96.3725
1063,96.4
1064,96.39
1065,96.4
1066,96.4834
1067,96.63
1068,96.646
1069,96.4985
1070,96.45
1071,96.4546
1072,96.3
1073,96.29
1074,96.25
1075,96.2439
1076,96.14
1077,96.0215
1078,95.8208
1079,95.85
1080,95.77
1081,95.6524
1082,95.6095
1083,95.655
1084,95.76
1085,95.7044
1086,95.74
1087,95.5418
1088,95.5766
1089,95.57
1090,95.5
1091,95.37
1092,95.2862
1093,95.385
1094,95.34
1095,95.35
1096,95.24
1097,95.22
1098,95.08
1099,95.1
1100,95.1113
1101,95.13
1102,95.3921
1103,95.38
1104,95.38
1105,95.26
1106,95.2943
1107,95.2316
1108,95.2316
1109,95.23
1110,95.215
1111,94.92
1112,95.01
1113,95.4264
1114,95.03
1115,94.9114
1116,94.624
1117,94.66
1118,94.52
1119,94.56
1120,94.5553
1121,94.5
1122,94.59
1123,94.5952
1124,94.66
1125,95.01
1126,95.07
1127,94.84
1128,94.84
1129,94.65
1130,94.665
1131,94.56
1132,94.56
1133,94.69
1134,94.74
1135,94.9099
1136,94.91
1137,94.94
1138,94.97
1139,94.92
1140,94.69
1141,94.62
1142,94.68
1143,94.5905
1144,94.6799
1145,94.6
1146,94.6
1147,94.55
1148,94.615
1149,94.7995
1150,94.67
1151,94.6
1152,94.5
1153,94.7119
1154,94.435
1155,94.435
1156,94.41
1157,94.58
1158,94.57
1159,94.64
1160,94.68
1161,94.81
1162,94.8403
1163,95.24
1164,95.195
1165,95.1079
1166,95.154
1167,95.145
1168,95.0901
1169,95.1569
1170,95.2
1171,95.5
1172,95.6
1173,95.35
1174,95.375
1175,95.3801
1176,95.48
1177,95.49
1178,95.5218
1179,95.49
1180,95.49
1181,95.47
1182,95.8429
1183,96.0395
1184,96.06
1185,96.01
1186,96.06
1187,96.04
1188,95.92
1189,96.02
1190,95.96
1191,95.84
1192,95.81
1193,95.94
1194,96.03
1195,95.9301
1196,95.95
1197,95.95
1198,95.9871
1199,95.8801
1200,95.88
1201,95.88
1202,95.86
1203,95.92
1204,96.21
1205,96.22
1206,96.59
1207,96.59
1208,96.5343
1209,96.42
1210,96.41
1211,96.3625
1212,96.41
1213,96.53
1214,96.5
1215,96.48
1216,96.4672
1217,96.1005
1218,96.1152
1219,96.1101
1220,95.8301
1221,95.9
1222,95.96
1223,95.8563
1224,95.86
1225,95.855
1226,95.98
1227,96.04
1228,96.1
1229,96.11
1230,96.075
1231,95.9961
1232,96.04
1233,96.07
1234,96.07
1235,96.07
1236,95.99
1237,95.91
1238,95.89
1239,96.045
1240,95.97
1241,95.97
1242,96.04
1243,96.03
1244,96.1
1245,96.1
1246,96.16
1247,96.25
1248,96.2495
1249,96.055
1250,96.055
1251,96.0699
1252,96.085
1253,96.06
1254,96.025
1255,95.89
1256,95.68
1257,95.685
1258,95.72
1259,95.88
1260,95.86
1261,95.67
1262,95.69
1263,95.71
1264,95.78
1265,95.9895
1266,95.785
1267,95.84
1268,95.8399
1269,95.7395
1270,95.7
1271,95.705
1272,95.74
1273,95.8295
1274,95.77
1275,95.71
1276,95.9085
1277,96.0495
1278,95.99
1279,96.0
1280,95.89
1281,95.95700000000001
1282,95.76
1283,95.64
1284,95.5995
1285,95.42
1286,95.47
1287,95.5
1288,95.58
1289,95.59
1290,95.31
1291,95.26
1292,95.4295
1293,95.35
1294,95.31
1295,95.31
1296,95.31
1297,95.33
1298,95.13
1299,95.2095
1300,95.07
1301,95.01
1302,95.045
1303,95.05
1304,95.11
1305,95.1352
1306,95.5095
1307,95.7795
1308,95.7001
1309,95.76
1310,95.78
1311,95.78
1312,95.6625
1313,95.6664
1314,95.79
1315,95.73
1316,95.775
1317,95.7743
1318,95.7295
1319,95.69
1320,95.67
1321,95.68
1322,95.65
1323,95.54
1324,95.625
1325,95.65
1326,95.6475
1327,95.8134
1328,95.93
1329,95.99
1330,96.0308
1331,96.11
1332,96.14
1333,95.98
1334,95.98100000000001
1335,96.005
1336,96.05
1337,96.0002
1338,96.0415
1339,96.055
1340,96.045
1341,96.01
1342,95.6765
1343,95.80799999999999
1344,95.77
1345,95.67
1346,95.6001
1347,95.685
1348,95.7096
1349,95.72
1350,95.645
1351,95.745
1352,95.715
1353,95.69
1354,95.66
1355,95.64
1356,95.63
1357,95.62
1358,95.56
1359,95.32
1360,95.32
1361,95.32
1362,95.3193
1363,95.31
1364,95.26
1365,95.25
1366,95.25
1367,95.23
1368,95.2
1369,95.2
1370,95.48
1371,95.66
1372,95.42
1373,95.35
1374,95.35
1375,95.3495
1376,95.27
1377,95.21
1378,95.21
1379,95.21
1380,95.20100000000001
1381,95.27
1382,95.33
1383,95.33
1384,95.42
1385,95.56
1386,95.62
1387,95.58
1388,95.48
1389,95.4741
1390,95.45
1391,95.56
1392,95.5695
1393,95.51
1394,95.505
1395,95.53
1396,95.595
1397,95.7275
1398,95.7295
1399,95.7295
1400,95.72
1401,95.7895
1402,95.8485
1403,95.8895
1404,95.88
1405,95.8995
1406,96.0395
1407,96.0028
1408,95.9
1409,95.9
1410,95.92
1411,95.9
1412,95.98
1413,95.94
1414,95.985
1415,95.89
1416,95.78
1417,95.83
1418,95.7
1419,95.7776
1420,95.8
1421,95.8416
1422,95.81
1423,95.7701
1424,95.77
1425,95.78
1426,95.7701
1427,95.8
1428,95.6
1429,95.66
1430,95.49
1431,95.54
1432,95.56
1433,95.6
1434,95.57
1435,95.5649
1436,95.8501
1437,95.76
1438,95.76
1439,95.69
1440,95.63
1441,95.5956
1442,95.67
1443,95.72
1444,95.89
1445,95.7884
1446,95.82
1447,95.855
1448,95.74
1449,95.74
1450,95.68
1451,95.78
1452,95.625
1453,95.52
1454,95.53
1455,95.57
1456,95.57
1457,95.57
1458,95.57
1459,95.53
1460,95.61
1461,95.65
1462,95.65899999999999
1463,95.63
1464,95.7399
1465,95.78
1466,95.765
1467,95.59
1468,95.55
1469,95.55
1470,95.535
1471,95.6
1472,95.4701
1473,95.495
1474,95.4901
1475,95.64
1476,95.705
1477,95.715
1478,95.74
1479,95.7965
1480,95.59
1481,95.61
1482,95.5756
1483,95.64
1484,95.52
1485,95.61
1486,95.63
1487,95.49
1488,95.54
1489,95.62
1490,95.59
1491,95.645
1492,95.6899
1493,95.65
1494,95.6642
1495,95.62
1496,95.615
1497,95.6
1498,95.66
1499,95.68
1500,95.76
1501,95.7999
1502,95.75
1503,95.755
1504,95.755
1505,95.8
1506,95.84
1507,95.885
1508,95.885
1509,95.92
1510,95.92
1511,95.87
1512,95.91
1513,95.78
1514,95.83
1515,95.74
1516,95.695
1517,95.52
1518,95.61
1519,95.62
1520,95.6763
1521,95.75
1522,95.75
1523,95.72
1524,95.675
1525,95.675
1526,95.675
1527,95.56
1528,95.509
1529,95.455
1530,95.5
1531,95.465
1532,95.445
1533,95.5
1534,95.485
1535,95.6033
1536,95.585
1537,95.585
1538,95.58
1539,95.58
1540,95.5825
1541,95.57
1542,95.71
1543,95.76
1544,95.78
1545,95.62
1546,95.5
1547,95.3236
1548,95.38600000000001
1549,95.38
1550,95.455
1551,95.3823
1552,95.425
1553,95.41
1554,95.425
1555,95.45
1556,95.4307
1557,95.45
1558,95.445
1559,95.35
1560,95.195
1561,95.21
1562,95.19
1563,95.01
1564,95.1
1565,95.1
1566,95.05
1567,95.09
1568,95.0125
1569,95.0
1570,95.01
1571,95.04700000000001
1572,95.0
1573,95.07
1574,95.0
1575,95.0
1576,95.0
1577,95.00399999999999
1578,94.92
1579,94.83
1580,94.84
1581,94.64
1582,94.7
1583,94.655
1584,94.61
1585,94.7329
1586,94.74
1587,94.6156
1588,94.635
1589,94.34
1590,94.3
1591,94.44
1592,93.905
1593,93.895
1594,93.9
1595,94.15
1596,94.12
1597,94.31
1598,94.42299999999999
1599,94.6156
1600,94.255
1601,94.23
1602,94.236
1603,94.69
1604,94.59
1605,94.51
1606,94.635
1607,94.5601
1608,94.89
1609,94.86
1610,94.93
1611,94.96
1612,95.0753
1613,95.1495
1614,95.18
